,SL32229,SL32232,SL32242,SL32243,SL32244,SL32249,SL32257,SL32259,SL5885,SL5886,SL5887,SL5999,SL6000,SL6128,SL6129,SL6131,SL6340,SL6342,SL6411,SL6412,SL6413,SL6609,SL6611,SL6642,SL6643,SL6644,SL7141,SL7142,SL7152,SL7153,SL7381,SL7382,SL7383,SL7393,SL7395,SL7614,SL7616,SL7617,SL7618,SL7625,SL7632,SL7697,SL7701,SL7804,SL7807,SL7847,SL8435
ENSG00000001460,3.71187805937525,3.93388880580097,3.31147278637065,2.40458693707376,3.23479629403139,2.87273934428734,2.74003629870946,2.67223897431315,2.64103360477768,3.64641154336958,3.50161515827077,2.83818327481138,2.92365817965555,4.00675299656275,3.26241498170436,3.51315780322315,2.40977002909551,2.83860703674443,3.33824657509647,2.55834667033539,2.77778811609537,2.83943326696059,2.75099795875988,3.16897273083553,3.21361239175781,2.68218347613435,3.24138628107888,3.44161296755915,3.39743440779632,3.1622393201781,3.42564154197086,3.76114721623608,3.24756608021031,2.92160480956395,3.47677285543662,3.04832133772355,2.3491554109392,2.90335986451326,2.31511461433758,3.05178826660546,3.30143887803923,2.39444003230468,1.49216485609397,3.07115308183445,2.8278292197552,2.18481683940859,2.10427069246044
ENSG00000001461,16.9465818299656,21.4964428195754,20.1264444274131,20.5255988149648,17.5397944992515,19.1264760558517,10.870585370969,19.0655474475169,30.4253250833588,21.5099048954297,17.4986629773737,20.9150275184743,14.9765229669815,21.2024029981501,18.1979256368095,14.8390772052635,17.219059958378,23.8296716381442,16.5668758734704,17.6932993656803,25.6810052013451,19.2968756602547,21.4149818956272,17.5386948686382,24.7916317668771,19.9703458744064,19.7224998571988,18.2297938887715,15.3610639941226,14.1679323630032,21.0441610017316,20.3279396383752,21.5053996468476,14.7806565856094,18.1669368273617,17.6033221243294,19.3363618024831,17.8433958386683,14.3619136355644,18.4083721463964,16.8858947298029,19.3327051849737,7.32496678707909,23.3625569760901,21.2942599393574,15.5367546675059,21.07190220387
ENSG00000001497,8.24802831611295,7.34276500771565,6.06550818676013,7.31222132564686,5.939307330989,7.14491947816778,6.77278621532822,6.57615744887315,8.22213668369777,10.163610236229,10.4799393070861,7.64899049975554,6.89531952414855,8.20839978443701,7.41549163406263,7.95493731375049,7.45546899981454,6.88964627846658,6.36363679717381,3.47232603934529,7.96151774944275,6.61036404949048,6.19739669691253,5.92616078391895,7.20562952399393,11.5473386328237,8.27978234429174,5.92486574289903,3.91621372721817,8.78414600578042,7.86368012320111,6.67480887307879,7.69042173891591,10.7472720966615,9.26058490534665,6.68956090694938,9.86383374242278,6.43960651105782,11.2356608595529,6.81824389509948,8.34443439683489,14.2322682972218,7.63539773636582,8.05986356668496,7.67575822327585,9.16542910256266,5.01349322269646
ENSG00000001561,8.67017023265882,7.78784270387528,9.98011217294685,9.34794021134293,6.97982120678568,11.1724288326371,6.6553486803431,8.97533062715513,12.2064704244561,8.77277951567122,9.25095403317463,12.7331726772774,5.66440464085412,9.60834578145887,7.84809659592104,7.20429143827558,9.07186005604868,16.3983133594051,10.6151316953527,15.0224202283801,15.0022025579975,9.40390289190947,10.0530532935779,9.39065323594101,7.93501715832904,6.78755549737568,8.77663364658697,6.62111393830872,5.0180050300253,5.16221240871917,9.96201210526144,9.09020732134083,10.1444970385426,8.00100764302777,9.37234329731169,8.73386176945704,9.97054949004334,9.67290926421795,7.13937226638569,6.54672638954711,8.3313469974456,7.92571831137839,5.51234156792206,13.4553341033762,8.00850580933374,5.5678108403967,19.7082166955457
ENSG00000001617,1.60314254404338,2.02765436441881,3.67400428290741,3.08115756954574,3.09384178535764,5.81641668461159,7.99577382640599,2.39279872142599,1.45823738984667,2.48328774185032,7.76597241205946,1.9000944707143,2.42335883558076,2.40265677919061,1.68677046801201,2.75862255941437,1.91525867686951,2.04794541317472,4.04361630205733,5.48801634171285,2.20882709773151,1.90817847724386,1.95919951772418,2.24344994312865,2.25771272898244,8.55924456625778,2.28095545243351,3.36405221092453,2.4524350660167,2.34039952428754,1.72839521871113,1.79143218773576,1.23176052172536,2.54416141953222,2.58008185716387,2.17636044269205,3.94644968265512,1.89202220128824,1.9810385063836,2.00751394967115,2.06756603458232,2.30562132226077,19.9315751060745,3.47970284633445,2.19129331082507,0.969445435406114,0.943051105605055
ENSG00000001626,0.110107996734564,0.0742387294971645,0.108751077901421,0.236229109139059,0.133627690526433,0.202715678474517,0.0739196224793303,0.0600924096319757,0.184988766367179,0.154537973492813,0.0302956568269547,0.179442211961708,0.0547799726291133,0.114156409009564,0.122199822649371,0.0546409786300271,0.120256965673569,0.153892185633921,0.0861570910517828,0.0577905619440172,0.184362972792348,0.135422936810105,0.0968953659466432,0.0676975355448864,0.0311622171902523,0.0946572212544537,0.113573029826258,0.0705991762441208,0.0389998664489312,0.0530457583854018,0.125373009837467,0.0952200631770662,0.0919460677887798,0.19988597168089,0.03735831786474,0.0598191244611802,0.333954045089796,0.104974428530341,0.12594112328088,0.0379173508712495,0.0618850452537407,0.280155095426495,0.0587493189087074,0.20587274205237,0.113155814180837,0.0454849519593326,0.0866533635872928
ENSG00000001629,8.2985519930406,7.20844973839836,6.87019496826421,9.10921332477692,5.83001469207142,8.74473917965333,7.55694141096518,6.55909809997857,13.7740871168262,9.19115025131333,9.42725419990781,14.5995576237702,9.83726148311609,11.6868375337735,10.4525929596118,8.94203063869508,11.604163260143,16.7731410457105,9.90578466437213,9.73030494615973,12.4164676439712,14.3073731282233,11.9712817110742,11.9840027314476,9.12972683067621,13.7619193717681,12.1502835757234,8.65616415057384,6.40932389971256,7.13607869270303,12.4454260152473,11.5975179516243,10.9183341196853,13.3783454021444,9.24048194340246,11.4906339333962,18.3228594044902,11.7738014024951,14.2362470303619,9.79847630731232,10.0153668406644,15.6638424983793,7.53576254139461,13.4318609147209,10.0535790414646,12.9271094373266,13.5805193176289
ENSG00000001630,0.251769171012748,0.140420482074709,0.422225545140727,0.354957937671511,0.518808875895126,0.464804351285839,0.321946809368585,0.439696780786544,0.0773465548919618,0.102023092801975,0.174172140472933,0.145886723871503,0.106886833191789,0.159101642208224,0.13685775950777,0.0897529519060129,0.190087562268134,0.243466099200168,0.174489125238778,0.132321702898467,0.146569882734052,0.188741147571865,0.133115436781358,0.149389329276171,0.12686507946344,0.114566714307237,0.128213747500326,0.131779311327753,0.124443764227849,0.17426530492507,0.243108731888629,0.206576496579084,0.122321877437838,0.0970824168998311,0.187440820768183,0.139485905064388,0.102669965997783,0.210118260848146,0.160263043027529,0.207609395882995,0.151681374185226,0.131480320325118,0.0701827546315255,0.226288723934688,0.159838273922002,0.153606398032369,0.157001261164272
ENSG00000001631,4.21355430419864,4.13490645648355,3.73666780467021,3.60278127600154,3.6689459710304,3.98138455828274,3.63631759889152,3.68655346124888,3.56386344855921,4.3435624637135,4.3566158024169,5.11160837766212,3.74512236278715,4.62604352043462,4.25388506003229,4.63737657243627,4.15145092276298,4.97333663518486,4.96030547581672,4.06126141569943,4.5985395080444,4.87207101228102,4.2338455585754,4.41966117882587,4.12941887565239,4.46267771734092,4.47790118266738,3.45797579261712,2.89115741093803,3.45733437717572,4.9489320092106,4.48888874525234,4.4207706174506,4.10780843970769,4.62261371673538,4.50086955888333,5.30375436213694,4.87832464847159,5.0139548456664,4.51381230919804,4.51152422717384,4.88996049437054,2.35044353011131,4.77843651960236,4.09349838658467,5.1971650222725,6.64588838007684
ENSG00000002016,1.89544330264786,1.24316840355758,1.35161164080525,2.32588242089269,1.28698318560355,2.05365153195914,2.7233933942478,1.50396762244333,1.85506205112244,2.47996467825327,2.37090267398907,2.37088557883202,1.76677047570332,2.06262558585936,1.93393405993882,2.10236893918964,2.14635477962072,2.31653054339214,1.86624240058487,1.16911311694663,2.00572586279714,1.83952798171653,1.80639457209265,1.64748038525344,1.16018332025705,3.28615069823071,2.28089230809039,1.4914449076433,0.588303261134558,1.86384853816517,1.68050180131263,1.42791375570279,1.47819712224045,3.2750854584106,1.92882867509579,1.59475402712715,3.99310206658682,1.59354892568585,3.06087112608067,1.62590453773271,2.0951130886002,5.07293523789277,2.48506414111338,3.90866038067661,1.90225704205461,2.01272039732056,1.59113154390911
